CHEM,SMILES
EPICATECHIN-3-O-GALLATE,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
EPICATECHIN-GALLATE,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
EPIGALLOCATECHIN,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
EPIGALLOCATECHIN-3-O-GALLATE,"C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O"
EPIGALLOCATECHIN-GALLATE,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
GLYCEOCARPIN,CC(=CCC1=CC2=C(C=C1O)OCC3(C2OC4=C3C=CC(=C4)O)O)C
GLYCEOFURAN,CC(C)(C1=CC2=CC3=C(C=C2O1)OCC4(C3OC5=C4C=CC(=C5)O)O)O
GLYCINOL,C(CO)N
GRANDISIN,CC1C(C(OC1C2=CC(=C(C(=C2)OC)OC)OC)C3=CC(=C(C(=C3)OC)OC)OC)C
INOSITOL,C1(C(C(C(C(C1O)O)O)O)O)O
ISOPULEGONE,"CC1CCC(C(=O)C1)C(=C)C
CC1CCC(C(=O)C1)C(=C)C
CC1CCC(C(=O)C1)C(=C)C"
CATECHIN,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
CENTROLOBINE,COC1=CC=C(C=C1)C2CCCC(O2)CCC3=CC=C(C=C3)O
CLANDESTACARPIN,CC(=C)C1=CC2=C(O1)C=CC3=C2OCC4(C3OC5=C4C=CC(=C5)O)O
CORYPALMINE,"COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)O)OC)C=C1)OC
COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)O)OC)C=C1)OC
COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)O)OC)C=C1)OC"
CRISTACARPIN,CC(=CCC1=C(C=CC2=C1OC3C2(COC4=C3C=CC(=C4)O)O)OC)C
DEMETHYLMEDICARPIN,C1C2C(C3=C(O1)C=C(C=C3)O)OC4=C2C=CC(=C4)O
DICENTRINE,CN1CCC2=CC3=C(C4=C2C1CC5=CC(=C(C=C54)OC)OC)OCO3
DOLICHIN-A,CC(=C)C(CC1=C(C=CC2=C1OC3C2COC4=C3C=CC(=C4)O)O)O
DOLICHIN-B,CC(=C)C(CC1=C(C=CC2=C1OC3C2COC4=C3C=CC(=C4)O)O)O
CANESCACARPIN,CC(=C)C1CC2=CC3=C(C=C2O1)OCC4(C3OC5=C4C=CC(=C5)O)O
CARNEGINE,CC1C2=CC(=C(C=C2CCN1C)OC)OC
CARVONE,CC1=CCC(CC1=O)C(=C)C
CARYOPHYLLENE,"CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C"
ARCTIGENIN,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)OC
BISPARTHENOLIDINE,CC1=CCCC2(C(O2)C3C(CC1)C(C(=O)O3)CNCC4C5CCC(=CCCC6(C(C5OC4=O)O6)C)C)C
BORNEOL,"CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C"
CAMPHENE,CC1(C2CCC(C2)C1=C)C
CAMPHOR,CC1(C2CCC1(C(=O)C2)C)C
3-HYDROXY-9-METHOXYPTEROCARPAN,"COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O
COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O"
ALPHA-BISABOLOL,"CC1=CCC(CC1)C(C)(CCC=C(C)C)O
CC1=CCC(CC1)C(C)(CCC=C(C)C)O
CC1=CCC(CC1)C(C)(CCC=C(C)C)O
CC1=CCC(CC1)C(C)(CCC=C(C)C)O
CC1=CCC(CC1)C(C)(CCC=C(C)C)O"
ALPHA-HYDRASTINE,CN1CCC2=CC3=C(C=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OCO3
ANONAINE,C1CNC2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5
APIOCARPIN,CC(=C)C1CC2=C(O1)C=C(C3=C2OCC4C3OC5=C4C=CC(=C5)O)O
APOGLAZIOVINE,CN1CCC2=CC(=C(C3=C2C1CC4=C3C=C(C=C4)O)O)OC
(15:1)-CARDANOL,CCCCCCC=CCCCCCCCC1=CC(=CC=C1)O
"(3'R,4'R)-3'-EPOXYANGELOYLOXY-4'-ACETOXY-3',4'-DIHYDROSESELIN",CC1C(O1)(C)C(=O)OC2C(C3=C(C=CC4=C3OC(=O)C=C4)OC2(C)C)OC(=O)C
"(Z)-1,8-PENTADECADIENE",CCCCCCC=CCCCCCC=C
1'-ACETOXYCHAVICOL-ACETATE,CC(=O)OC1=CC=C(C=C1)C(C=C)OC(=O)C
"1,11-DIMETHOXYCANTHIN-6-ONE",COC1=CC=CC2=C1C3=C4N2C(=O)C=CC4=NC=C3OC
"1,2,6-TRI-O-GALLOYL-BETA-D-GLUCOSE",C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(O2)O)(COC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
"1,2-DIMETHOXY-3,8-DIHYDROXYXANTHONE",COC1=C(C2=C(C=C1O)OC3=CC=CC(=C3C2=O)O)OC
"1,3,4,5-TETRACAFFEOYLQUINIC-ACID",C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC(=O)C=CC4=CC(=C(C=C4)O)O)OC(=O)C=CC5=CC(=C(C=C5)O)O
"1,3,4,6-TETRA-O-GALLOYL-BETA-D-GLUCOSE",C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O
"1,3,4-TRI-O-GALLOYLQUINIC-ACID",C1C(C(C(CC1(C(=O)O)OC(=O)C2=CC(=C(C(=C2)O)O)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)O
"1,3,7-TRIMETHYLXANTHINE",CN1C=NC2=C1C(=O)N(C(=O)N2C)C
"1,3-DIHYDROXY-2-METHOXYMETHYLANTHRAQUINONE",COCC1=C(C=C2C(=C1O)C(=O)C3=CC=CC=C3C2=O)O
"1,4-DICAFFEOYLQUINIC-ACID",C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
"1,4-DIHYDROXY-2-METHYLANTHRAQUINONE",CC1=CC(=C2C(=C1O)C(=O)C3=CC=CC=C3C2=O)O
"1,5-DIDEOXY-1,5-IMINO-D-MANNITOL",C1C(C(C(C(N1)CO)O)O)O
"1,5-DIHYDROXY-8-METHOXYXANTHONE",COC1=C2C(=C(C=C1)O)OC3=CC=CC(=C3C2=O)O
"1,7-BIS(4-HYDROXY-3-METHOXYPHENYL)-1,6-HEPTADIEN-3,5-DIONE",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
"1,7-DIHYDROXY-4-METHOXYXANTHONE",COC1=C2C(=C(C=C1)O)C(=O)C3=C(O2)C=CC(=C3)O
"1,8-CINEOLE",CC1(C2CCC(O1)(CC2)C)C
"1,8-DIHYDROXY-3,7-DIMETHOXYXANTHONE",COC1=C(C2=C(C=C1)OC3=CC(=CC(=C3C2=O)O)OC)O
"1,8-DIHYDROXY-9-ANTHRONE",C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
"1,8-DIHYDROXYANTHRAQUINONE",C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
1-ACETOXYPINORESINOL,CC(=O)OC12COC(C1COC2C3=CC(=C(C=C3)O)OC)C4=CC(=C(C=C4)O)OC
1-ACETYLJATIVATRIOL,CC(=O)OC1CCC(C2C1(C3CC(C4(CC3(CC2)C=C4)CO)O)C)(C)C
1-DECANOL,CCCCCCCCCCO
1-ETHYL-BETA-CARBOLINE,CCC1=NC=CC2=C1NC3=CC=CC=C23
1-HEPTANOL,CCCCCCCO
1-HYDROXY-2-HYDROXYMETHYLANTHRAQUINONE,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)CO)O
1-HYDROXYANTHRAQUINONE,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O
1-METHOXYCANTHIN-6-ONE,COC1=CN=C2C=CC(=O)N3C2=C1C4=CC=CC=C43
1-MONOLAURIN,CCCCCCCCCCCC(=O)OCC(CO)O
1-MONOMYRISTIN,CCCCCCCCCCCCCC(=O)OCC(CO)O
1-PENTADECENE,CCCCCCCCCCCCCC=C
1-TULIPOSIDE-B,C=C(C(CO)O)C(=O)OC1C(C(C(C(O1)CO)O)O)O
10-DEHYDROGINGERDIONE,"CCCCCCCCCC(=O)C=C(C=CC1=CC(=C(C=C1)O)OC)O
CCCCCCCCCC(=O)C=C(C=CC1=CC(=C(C=C1)O)OC)O"
10-EPIEUPATOROXIN,"CC=C(C)C(=O)OC1CC2(CO2)C3C(C4C(C3(C5C1C(=C)C(=O)O5)O)(O4)C)O
CC=C(C)C(=O)OC1CC2(CO2)C3C(C4C(C3(C5C1C(=C)C(=O)O5)O)(O4)C)O"
10-GINGERDIONE,CCCCCCCCCC(=O)C=C(CCC1=CC(=C(C=C1)O)OC)O
10-GINGEROL,CCCCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
10-HYDROXYCAMPTOTHECIN,"CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O"
10-METHOXYCAMPTOTHECIN,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)OC)O
11-DEOXOCUCURBITACIN-I,CC1(C2=CCC3C(C2C=C(C1=O)O)(CCC4(C3(CC(C4C(C)(C(=O)C=CC(C)(C)O)O)O)C)C)C)C
11-HYDROXY-DELTA-8-THC,CCCCCC1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)CO)O
11-HYDROXY-DELTA-9-THC,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)CO)O
11-HYDROXYCANTHIN-6-ONE,C1=CC(=O)C2=C3C=CNC4=C3N(C2=C1)C(=O)C=C4
12-HYDROXYDAPHNETOXIN,CC1C(C2(C3C4C1(C5C=C(C(=O)C5(C(C6(C4O6)CO)O)O)C)OC(O3)(O2)C7=CC=CC=C7)C(=C)C)O
12ALPHA-HYDROXYAMOORSTATIN,CC(=O)OC1CC(C23COC(C1(C2CC(C4(C3C(=O)C(C5(C46C(O6)CC5C7=COC=C7)C)O)C)O)C)O)O
"13,18-DEHYDROGLAUCARUBINONE","CCC(C)(C(=O)OC1C2C(=C)C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)O
CCC(C)(C(=O)OC1C2C(=C)C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)O
CCC(C)(C(=O)OC1C2C(=C)C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)O
CCC(C)(C(=O)OC1C2C(=C)C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)O"
13-HYDROXYLUPANINE,"C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)O
C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)O
C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)O
C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)O
C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)O"
13-KETO-8(14)-PODOCARPEN-18-OIC-ACID,CC12CCCC(C1CCC3=CC(=O)CCC23)(C)C(=O)O
13-TRANS-CINNAMOYLOXYLUPANINE,"C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)OC(=O)C=CC5=CC=CC=C5
C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)OC(=O)C=CC5=CC=CC=C5"
"14,15-DIHYDROJODRELLIN-T",CC=C(C)C(=O)OC1C2CC3(CO3)C4(C1C(C(CC4OC(=O)C)C)(C)C5CC6CCOC6O5)C(O2)OC(=O)C
"14,15-EPOXYGERANYLGERANIOL",CC(=CCCC(=CCO)C)CCC=C(C)CCC1C(O1)(C)C
14-ACETOXYCEDROL,CC1CCC2C13CCC(C(C3)C2(C)COC(=O)C)(C)O
15-NONACOSANONE,CCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCC
16-EPIMETHUENINE,CC=C1CN(CC2C1CC(=O)C3=C(C2)C4=CC=CC=C4N3)C
16-EPISAIKOGENIN-C,CC1(CCC2(C(CC3(C(=C2C1)C=CC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)O)CO)C
"2',4'-DIHYDROXYCHALCONE",C1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)O)O
"2',6'-DIHYDROXY-4'-METHOXYACETOPHENONE",CC(=O)C1=C(C=C(C=C1O)OC)O
"2',6'-DIHYDROXY-4'-METHOXYDIHYDROCHALCONE",COC1=CC(=C(C(=C1)O)C(=O)CCC2=CC=CC=C2)O
"2',6'-DIMETHOXY-4'-HYDROXYACETOPHENONE",CC(=O)C1=C(C=C(C=C1OC)O)OC
2'-ACETYLNERIIFOLIN,CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)OC(=O)C)OC)O
2'-HYDROXYDAIDZEIN,C1=CC(=C(C=C1O)O)C2=COC3=C(C2=O)C=CC(=C3)O
2'-HYDROXYGENISTEIN,C1=CC(=C(C=C1O)O)C2=COC3=CC(=CC(=C3C2=O)O)O
"2,2-DIMETHYL-6-CARBOXYCHROMAN-4-ONE",CC1(CC(=O)C2=C(O1)C=CC(=C2)C(=O)O)C
"2,3-DEHYDROKIEVITOL",CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=CO2)C3=C(C=C(C=C3)O)O)CO
"2,3-DEHYDROKIEVITONE",CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=CO2)C3=C(C=C(C=C3)O)O)C
"2,3-DIHYDROXYBENZOATE",C1=CC(=C(C(=C1)O)[O-])C(=O)O
"2,3-DIHYDROXYBENZOIC-ACID",C1=CC(=C(C(=C1)O)O)C(=O)O
"2,3-DIHYDROXYGERMACRENE",CC1=C(C(CC(=CCC(CC1)C(=C)C)C)O)O
"2,5-DIHYDROXYMETHYL-3,4-DIHYDROXYPYRROLIDINE",C(C1C(C(C(N1)CO)O)O)O
"2,5-DIMETHOXY-P-BENZOQUINONE",COC1=CC(=O)C(=CC1=O)OC
"2,6-DIMETHOXY-P-BENZOQUINONE",COC1=CC(=O)C=C(C1=O)OC
"2,6-DIMETHOXYBENZOQUINONE",COC1=CC(=O)C=C(C1=O)OC
"2,6-DIMETHOXYPHENOL",COC1=C(C(=CC=C1)OC)O
"2,6-DIMETHYL-OCTANAL",CCC(C)CCCC(C)C=O
"2,7-DIHYDROXYCADALENE",CC1=CC2=C(C=C1O)C(=C(C=C2C(C)C)O)C
2-CYCLOHEXYL-5-HYDROXYCHROMONE,C1CCC(CC1)C2=CC(=O)C3=C(C=CC=C3O2)O
2-DEMETHYLCOLCHICINE,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)O)OC
2-DEMETHYLDEMECOLCINE,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)O)OC
2-DEMETHYLSPECIOSINE,CN(CC1=CC=CC=C1O)C2CCC3=CC(=C(C(=C3C4=CC=C(C(=O)C=C24)OC)OC)O)OC
2-DEOXYECDYSONE,CC(C1CCC2(C1(CCC3C2=CC(=O)C4C3(CCC(C4)O)C)C)O)C(CCC(C)(C)O)O
2-EPICUCURBITACIN-B,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O
2-ETHYL-2-HEPTENAL,CCCCC=C(CC)C=O
2-ETHYLANTHRAQUINONE,CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O
2-FURALDEHYDE,C1=COC(=C1)C=O
2-HYDROXYSWIETENINE,CC=C(C)OC(=O)C1C(C(C2(C3CCC4(C(C3=CC1(C2=O)O)CC(=O)OC4C5=COC=C5)C)C)C(C(=O)OC)O)(C)C
"2-METHOXY-1,4-NAPTHOQUINONE",COC1=CC(=O)C2=CC=CC=C2C1=O
2-METHOXY-4-VINYL-PHENOL,COC1=C(C=CC(=C1)C=C)O
2-METHYLANTHRAQUINONE,CC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O
2-METHYLBUT-3-ENE-2-OL,CC(C)(C=C)O
2-N-PROPYLQUINOLINE,CCCC1=NC2=CC=CC=C2C=C1
2-NAPTHOL,C1=CC=C2C=C(C=CC2=C1)O
2-NONENAL,CCCCCCC=CC=O
2-OCTANOL,CCCCCCC(C)O
2-THIOURACIL,C1=CNC(=S)NC1=O
2-TRIDECANONE,CCCCCCCCCCCC(=O)C
"2-VINYL-4H-1,3-DITHIIN",C=CC1SCC=CS1
20-HYDROXYECDYSONE,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O
22-DEOXYINTEGRISTERONE-A,CC12CCC3C(=CC(=O)C4C3(C(C(C(C4)O)O)O)C)C1(CCC2C(C)(CCCC(C)(C)O)O)O
22-HYDROXYTINGENONE,CC1CC2C(CCC3(C2(CCC4(C3=CC=C5C4=CC(=O)C(=C5C)O)C)C)C)(C(C1=O)O)C
"22S,23S-HOMOBRASSINOLIDE","CCC(C(C)C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CCC(C(C)C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CCC(C(C)C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O"
24-EPIBRASSINOLIDE,"CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O"
24-HYDROXYGLYCYRRHIZIN,CC12CCC(CC1C3=CC(=O)C4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)C(=O)O)O)O)O)C)(C)C(=O)O
24-METHYLENE-CYCLOARTANOL,"CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C
CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C"
26-DESGLUCOAVENACOSIDE-A,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC19CCC(O9)(C)CO
26-DESGLUCOAVENACOSIDE-B,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)OC11CCC(O1)(C)CO
"28,29-DIHYDROXYFRIEDELAN-3-ONE",CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)CO)CO)C)C)C)C
"2R,5R-DIHYDROXYMETHYL-3R,4R-DIHYDROXYPYRROLIDINE","C(C1C(C(C(N1)CO)O)O)O
C(C1C(C(C(N1)CO)O)O)O"
"3',4',5,6,7,8-HEXAMETHOXYFLAVONE",COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
"3',4'-DIHYDROUSAMBARENSINE",CC=C1CN2CCC3=C(C2CC1CC4=NCCC5=C4NC6=CC=CC=C56)NC7=CC=CC=C37
"3'-(GAMMA,GAMMA-DIMETHYLALLYL)KIEVITONE",CC(=CCC1=C(C=CC(=C1O)C2COC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)O)C
3'-DEMETHOXY-6-O-DEMETHYLISOGUAIACIN,CC1CC2=CC(=C(C=C2C(C1C)C3=CC=C(C=C3)O)O)O
